Z,k,Symbole,E_exp_eV,E_pred_eV,m,Delta,Err_percent,Lambda_e,Eps_0,Eps_1,Eps_2,Eps_3,Eps_4,Eps_5,Eps_6,Eps_7,Eps_8,Eps_9,Eps_10,Eps_11,Eps_12,Eps_13,Eps_14,,,Factor_4_Zk
13,9,Al,398.65,398.64727966000004,2,4.187471425,0.0006823880596862836,5.95,1,0,-1,0,1,1,-1,0,0,0,1,0,0,0,0,,,256.0
13,10,Al,442.005,442.0080820176001,2,4.642942038000001,0.0006972811619988388,5.95,0,1,0,-1,0,0,1,0,0,1,0,-1,0,1,0,,,64.0
13,11,Al,2085.97693,2085.9335486976006,5,0.3423604170000001,0.002079663575148531,5.95,1,0,0,0,1,0,0,1,0,-1,0,1,-1,0,0,,,16.0
13,12,Al,2304.140359,2304.1267922848,3,6.0507531310000005,0.0005887972556400131,5.95,0,1,1,-1,0,1,1,0,0,1,0,0,0,0,0,,,4.0
14,0,Si,8.15168,8.15165770475,-1,5.48010602,0.00027350497075413505,5.95,0,1,-1,0,1,1,0,0,0,1,0,0,0,0,0,,,268435456.0
14,1,Si,16.34585,16.346065647800003,1,0.686809481,0.001319281652557705,5.95,0,0,0,1,0,0,-1,0,1,0,-1,0,-1,0,1,,,67108864.0
14,2,Si,33.493,33.493335162000015,1,1.4072829900000006,0.0010006926820922465,5.95,1,1,0,0,0,0,-1,1,0,0,0,-1,0,1,0,,,16777216.0
14,3,Si,45.14179,45.1415691944,1,1.896704588,0.0004891378919654793,5.95,0,0,1,1,1,-1,-1,0,0,1,0,0,0,0,0,,,4194304.0
14,4,Si,166.767,166.76735605460001,1,7.007031767000001,0.0002135042304645112,5.95,0,0,0,1,0,0,-1,0,0,1,0,-1,1,1,0,,,1048576.0
14,5,Si,205.279,205.2783135788,1,8.625139226,0.0003343845205729047,5.95,0,1,1,1,-1,0,0,0,0,0,0,1,1,0,0,,,262144.0
14,6,Si,246.57,246.56994486460002,1,10.360081717,2.236095225508784e-05,5.95,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,,,65536.0
14,7,Si,303.59,303.59131737900003,1,12.755937705000001,0.0004339335946692784,5.95,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,,,16384.0
14,8,Si,351.28,351.28113750800003,1,14.75971166,0.00032381803690964095,5.95,0,0,0,1,0,0,0,0,-1,0,0,1,0,1,1,,,4096.0
14,9,Si,401.38,401.38856853900006,1,16.865065905,0.0021347697942264853,5.95,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,,,1024.0
14,10,Si,476.273,476.27177924480003,3,1.250713706,0.0002563141727528083,5.95,1,0,0,0,-1,0,0,0,1,0,1,0,0,1,-1,,,256.0
14,11,Si,523.415,523.4160061984005,3,1.3745168230000013,0.0001922372114949045,5.95,0,1,0,0,0,0,0,1,-1,0,0,1,0,1,-1,,,64.0
14,12,Si,2437.65805,2437.6479712032,3,6.401386479,0.0004134622901648057,5.95,0,1,0,0,-1,0,-1,0,0,-1,0,0,1,0,1,,,16.0
14,13,Si,2673.177958,2673.181414220799,4,1.7549772939999992,0.0001292925818316538,5.95,1,1,0,1,0,1,0,0,1,0,-1,0,0,0,0,,,4.0
15,0,P,10.486686,10.48658665705,-1,7.049806156,0.0009473245408640787,5.95,0,0,1,-1,0,0,0,0,-1,-1,0,0,1,0,1,,,1073741824.0
15,1,P,19.76949,19.76952812555,0,3.322609769,0.0001928504478305926,5.95,0,0,0,1,-1,0,0,0,-1,-1,0,1,0,1,0,,,268435456.0
15,2,P,30.20264,30.20313653000002,1,1.2690393500000008,0.0016439953594149773,5.95,1,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,1,,,67108864.0
15,3,P,51.44387,51.443853277950005,0,8.646025761,3.25054277444777e-05,5.95,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,1,,,16777216.0
15,4,P,65.02511,65.0249062365,0,10.92855567,0.00031336125382411826,5.95,0,0,1,-1,0,0,0,1,1,0,1,1,0,0,0,,,4194304.0
15,5,P,220.43,220.4295369024001,3,0.5788590780000002,0.00021008828195760002,5.95,0,1,1,0,0,0,0,-1,-1,0,0,1,0,0,0,,,1048576.0
15,6,P,263.57,263.56770634879985,3,0.6921420859999996,0.0008702246842007459,5.95,0,0,1,0,1,1,-1,1,0,0,-1,0,0,0,0,,,262144.0
15,7,P,309.6,309.5974014126,1,13.008294177,0.0008393370155135104,5.95,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,,,65536.0
15,8,P,372.31,372.3082529151991,4,0.2444250609999994,0.0004692554056864239,5.95,0,0,1,0,1,1,1,0,-1,0,-1,0,0,0,0,,,16384.0
15,9,P,424.4,424.40191282719996,2,4.458003285999999,0.00045071328934673244,5.95,0,0,0,1,0,1,0,1,0,0,0,0,1,-1,0,,,4096.0
15,10,P,479.44,479.43985436480006,2,5.036132924,3.0376105444323014e-05,5.95,1,0,0,-1,0,1,-1,0,1,0,0,1,0,0,0,,,1024.0
15,11,P,560.62,560.6199759888001,2,5.888865294,4.282972407675575e-06,5.95,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,1,,,256.0
15,12,P,611.741,611.7395449312,2,6.425835556,0.00023785700156466995,5.95,0,0,0,1,1,0,0,1,-1,0,-1,0,0,0,1,,,64.0
15,13,P,2816.90868,2816.9096496352,3,7.397346768999999,3.442196073989254e-05,5.95,0,0,0,1,0,1,-1,1,1,1,0,0,0,0,0,,,16.0
15,14,P,3069.842145,3069.8233236832007,3,8.061510829000001,0.0006131037333648821,5.95,0,0,0,1,0,1,0,0,-1,0,0,0,-1,1,1,,,4.0
16,0,S,10.3600167,10.359901134274999,-1,6.964639417999999,0.0011154974779168665,5.95,0,1,0,0,0,0,0,0,0,0,1,-1,1,-1,1,,,4294967296.0
16,1,S,23.33788,23.33789480295,0,3.922335261,6.34288547279354e-05,5.95,0,1,0,0,-1,0,-1,0,1,-1,0,0,0,0,1,,,1073741824.0
16,2,S,34.86,34.860058515800006,0,5.8588333640000005,0.0001678594377692934,5.95,1,0,0,-1,1,0,0,0,-1,1,0,0,0,1,0,,,268435456.0
16,3,S,47.222,47.22211511325,0,7.936489935,0.00024377038244255455,5.95,1,0,1,0,0,0,0,1,0,0,-1,1,0,1,0,,,67108864.0
16,4,S,72.5945,72.59470341549999,0,12.20079049,0.00028020786698185147,5.95,1,0,0,0,0,0,0,0,-1,1,1,1,1,0,0,,,16777216.0
16,5,S,88.0529,88.05326027435,0,14.798867272999999,0.00040915671147807446,5.95,1,0,-1,0,1,0,0,0,0,1,0,1,0,0,1,,,4194304.0
16,6,S,280.954,280.9531387264,1,11.804753728000001,0.0003065532435845192,5.95,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,1,,,1048576.0
16,7,S,328.794,328.79899015600006,2,3.4537709050000003,0.0015177150434850515,5.95,0,0,0,1,0,0,1,0,0,-1,1,0,0,0,0,,,262144.0
16,8,S,379.84,379.8346898976,2,3.9898601879999998,0.001397983993249846,5.95,1,0,0,0,0,-1,1,0,0,1,-1,0,1,0,0,,,65536.0
16,9,S,447.7,447.7034237312,2,4.702767056,0.0007647378155081603,5.95,0,1,0,0,0,0,1,1,0,0,-1,1,0,0,0,,,16384.0
16,10,S,504.55,504.5511132704001,2,5.299906652000001,0.00022064619960022016,5.95,0,0,0,1,0,0,0,0,-1,1,1,-1,1,0,0,,,4096.0
16,11,S,564.41,564.4096290448,2,5.928672574,6.57244201855217e-05,5.95,1,1,0,-1,0,0,1,0,1,1,0,0,0,0,0,,,1024.0
16,12,S,651.96,651.959123424,2,6.84831012,0.00013445242039327888,5.95,1,0,0,-1,1,0,0,1,0,0,-1,0,0,0,1,,,256.0
16,13,S,706.994,706.9905207232001,3,1.8565927540000002,0.0004921225356803443,5.95,0,0,1,1,0,1,0,0,0,0,1,0,-1,0,0,,,64.0
16,14,S,3223.78057,3223.7777504128007,3,8.465802916000001,8.746213143023097e-05,5.95,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,,,16.0
16,15,S,3494.188518,3494.1538020479993,4,2.2939560149999996,0.0009935340300555697,5.95,1,0,-1,0,0,0,0,1,1,1,0,-1,0,0,0,,,4.0
17,0,Cl,12.967633,12.967668172550002,-1,8.717760116000001,0.00027123338548509096,5.95,0,1,0,0,0,0,0,0,-1,1,1,0,0,1,0,,,17179869184.0
17,1,Cl,23.81364,23.8134431325,0,4.00225935,0.0008267005799950004,5.95,0,0,0,0,0,1,0,-1,0,0,1,1,1,0,-1,,,4294967296.0
17,2,Cl,39.8,39.8002321437,0,6.689114646,0.0005832756281494022,5.95,0,1,-1,0,-1,1,0,1,0,0,0,0,0,1,0,,,1073741824.0
17,3,Cl,53.24,53.24002415900001,0,8.94790322,4.537753569844525e-05,5.95,0,1,1,0,0,0,0,0,1,0,-1,0,1,1,0,,,268435456.0
17,4,Cl,67.68,67.6802152355,0,11.37482609,0.00031801935578247987,5.95,0,1,0,-1,0,0,0,1,1,0,1,0,1,0,0,,,67108864.0
17,5,Cl,96.94,96.94205385200002,0,16.29278216,0.002118683721907661,5.95,0,1,0,0,0,0,1,0,0,-1,0,0,1,1,1,,,16777216.0
17,6,Cl,114.2013,114.2010877616,1,4.7983650319999995,0.0001858458704150289,5.95,0,1,-1,1,0,1,0,0,-1,0,0,0,1,0,0,,,4194304.0
17,7,Cl,348.306,348.3076369079999,2,3.6586936649999986,0.0004699626190503333,5.95,1,0,0,0,0,1,-1,0,0,0,0,1,1,-1,0,,,1048576.0
17,8,Cl,400.851,400.8499318656,2,4.210608528,0.00026646669210911793,5.95,0,0,1,1,0,0,-1,0,1,1,0,0,0,0,0,,,262144.0
17,9,Cl,456.7,456.70067748480005,3,1.199319006,0.00014834350778729499,5.95,1,0,1,-1,0,0,0,0,0,0,-1,0,0,1,0,,,65536.0
17,10,Cl,530.0,530.0045324,3,1.391818625,0.0008551698113238535,5.95,1,0,0,0,0,-1,1,0,1,0,0,1,0,-1,0,,,16384.0
17,11,Cl,591.58,591.5851348736,4,0.38838309800000004,0.0008679931032174234,5.95,1,1,0,0,1,-1,-1,0,1,0,0,0,0,0,0,,,4096.0
17,12,Cl,656.3,656.3100878656,2,6.894013528,0.0015370814566659557,5.95,0,1,0,0,0,0,0,1,-1,0,0,1,-1,0,1,,,1024.0
17,13,Cl,750.23,750.2272799560001,2,7.8805386550000005,0.0003625613478457673,5.95,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,256.0
17,14,Cl,809.198,809.1982807832,2,8.499981941,3.46989488319221e-05,5.95,0,1,0,-1,0,0,1,0,0,0,0,0,1,-1,1,,,64.0
17,15,Cl,3658.34366,3658.3530217920006,3,9.60701949,0.0002559024758384277,5.95,1,0,-1,0,0,0,0,0,1,0,1,0,0,1,0,,,16.0
17,16,Cl,3946.29179,3946.3031602175997,3,10.363191072,0.0002881240973695422,5.95,1,-1,0,0,0,1,0,0,0,0,-1,0,0,1,1,,,4.0
18,0,Ar,15.7596119,15.75968681700001,1,0.6621717150000004,0.0004753733815604504,5.95,0,1,-1,-1,0,0,0,0,0,1,0,1,-1,0,0,,,68719476736.0
18,1,Ar,27.62967,27.629972933500003,0,4.64369293,0.001096406507939514,5.95,1,0,0,1,0,1,1,0,0,0,0,0,-1,1,0,,,17179869184.0
18,2,Ar,40.735,40.73459849760002,2,0.4278844380000002,0.000985644777172624,5.95,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,,,4294967296.0
18,3,Ar,59.58,59.58010699200002,3,0.15646036500000005,0.00017957703930935142,5.95,0,1,0,0,1,1,0,1,-1,0,-1,0,0,0,0,,,1073741824.0
