k,D,a,b,err,approx
3,437,-578,677,6.429393762991068e-08,0.8682438941111795
3,630,1264,-507,6.4751057195944e-08,0.8682440061537156
3,985,694,114,6.480849624547341e-08,0.8682440062035867
3,355,-570,621,6.491043032616671e-08,0.8682440062920903
4,254,-697,763,7.373211898274822e-10,1.5041139688609118
4,203,-126,305,2.0302243834595867e-09,1.5041139730236157
4,406,-252,610,2.0302243834595867e-09,1.5041139730236157
4,609,-378,915,2.0302243834595867e-09,1.5041139730236157
4,812,-504,1220,2.0302243834595867e-09,1.5041139730236157
4,921,2849,-1035,2.4532469450384258e-09,1.5041139662799639
4,964,-59,1067,2.7594325541964285e-09,1.504113974120428
4,972,2278,-577,2.941209532181863e-09,1.5041139655460125
4,761,67,762,2.9539519190630194e-09,1.5041139744130072
4,558,193,457,3.290003217144895e-09,1.5041139749184667
4,913,512,609,3.5701073528814996e-09,1.5041139753397752
4,355,319,152,4.010383864498674e-09,1.5041139760020013
4,710,638,304,4.010383864498674e-09,1.5041139760020013
4,769,2404,-882,4.253564662300626e-09,1.5041139635720808
4,862,1083,151,4.4767092244445545e-09,1.5041139767034077
4,820,1833,-424,4.7200078268798455e-09,1.5041139628704971
4,507,764,-1,4.803228828590711e-09,1.5041139771945304
4,871,1262,34,5.131827285928168e-09,1.5041139622510737
4,659,1209,-154,5.230330264880221e-09,1.5041139778369397
4,811,1654,-307,5.497334613964603e-09,1.5041139782385446
4,922,691,492,5.4980875007190164e-09,1.5041139617001766
4,963,2099,-460,5.680051076519662e-09,1.504113978513371
4,973,120,950,5.825952557782764e-09,1.5041139612070302
4,152,445,-153,6.654938890958838e-09,1.5041139799797134
4,304,890,-306,6.654938890958838e-09,1.5041139799797134
4,456,1335,-459,6.654938890958838e-09,1.5041139799797134
4,608,1780,-612,6.654938890958838e-09,1.5041139799797134
4,760,2225,-765,6.654938890958838e-09,1.5041139799797134
4,912,2670,-918,6.654938890958838e-09,1.5041139799797134
4,617,1959,-729,6.940910967009395e-09,1.5041139595300057
4,668,1388,-271,7.308319112663442e-09,1.504113958977382
4,719,817,187,7.623605351184051e-09,1.5041139585031555
4,861,3241,-1376,7.745318795400676e-09,1.504113981619769
4,770,246,645,7.897126451814865e-09,1.5041139580917486
4,709,2796,-1223,7.979081422779485e-09,1.5041139819713747
4,821,-325,1103,8.136665787347974e-09,1.5041139577314542
4,557,2351,-1070,8.340427206187117e-09,1.50411398251488
4,405,1906,-917,8.97300575736671e-09,1.5041139834663502
4,253,1461,-764,1.0365678108321965e-08,1.504113985561088
4,465,1514,-576,1.138514567611361e-08,1.5041139528453702
4,930,3028,-1152,1.138514567611361e-08,1.5041139528453702
4,981,2457,-694,1.1404281990662831e-08,1.504113952816587
4,516,943,-118,1.142152678796023e-08,1.5041139527906489
4,567,372,340,1.1451363247163049e-08,1.5041139527457714
4,618,-199,798,1.1476275384117447e-08,1.5041139527083007
4,955,-238,1184,1.1506636502050693e-08,1.5041139872772196
4,51,-571,458,1.1753238653464464e-08,1.5041139522917164
4,803,-683,1337,1.2425014998701304e-08,1.5041139886585655
4,904,333,726,1.2818863936670915e-08,1.5041139892509592
4,752,-112,879,1.4064763672100758e-08,1.5041139911249344
4,982,299,833,1.4253968099355755e-08,1.5041139485303343
4,853,904,268,1.4288004928523929e-08,1.5041139914607147
4,931,870,375,1.4390957615819415e-08,1.5041139483242865
4,954,1920,-343,1.4463976854383132e-08,1.5041139917253965
4,880,1441,-83,1.4543825513933642e-08,1.5041139480943557
4,829,2012,-541,1.4715502147046494e-08,1.5041139478361345
4,778,2583,-999,1.49096865511198e-08,1.504113947544059
4,600,-557,1032,1.594191938764494e-08,1.5041139939483905
4,701,459,421,1.594310614384469e-08,1.5041139939501755
4,802,1475,-190,1.594399425496519e-08,1.5041139939515114
4,903,2491,-801,1.5944683367782758e-08,1.5041139939525479
4,466,-644,951,1.7390319235163003e-08,1.5041139438129048
4,852,3062,-1259,1.76026576580083e-08,1.5041139964463301
4,751,2046,-648,1.7824898017922664e-08,1.504113996780605
4,415,-73,493,1.8083069086254685e-08,1.50411394277093
4,830,-146,986,1.8083069086254685e-08,1.50411394277093
4,650,1030,-37,1.81162039275661e-08,1.5041139972187623
4,779,425,528,1.8497473899367717e-08,1.504113942147618
4,549,14,574,1.8514693452815117e-08,1.504113997818136
4,364,498,35,1.8969941191356216e-08,1.5041139414369733
4,728,996,70,1.8969941191356216e-08,1.5041139414369733
4,677,1567,-388,1.9513592302101058e-08,1.50411394061926
4,990,2636,-811,1.971348019240117e-08,1.504113940318606
4,700,2617,-1106,1.9979876474712728e-08,1.5041140000219382
