N-Z,N,Z,A,El,Orig,MassExcess_keV,Error_keV,BindingPerA_keV,Error_BindingPerA_keV,BetaDecay_keV,Error_BetaDecay_keV,AtomicMass_u,Error_AtomicMass_u
1,a0,ssk,w,,,,AT,MICMAS,SADJU,TMENT,,,
0,,,,,,,,DATE3Mar,2021TIME22,41,,,
0,,**,***,***,**,*******,,A=,0TO295,,,,
1N-Z,,N,Z,A,EL,OMASS,XCESS,BINDINGENE,GY/A,ETA-DECAYENER,Y,ATOMICMASS,
0 43,1,8,65,173,Tb,x-36510#,500#,7988#,3#,B-7230#,640#,72960805#,537#
0 44,1,9,65,174,Tb,x-31970#,500#,7963#,3#,B-9160#,707#,73965679#,537#
0 43,1,9,66,175,Dy,x-36730#,500#,7986#,3#,B-6570#,640#,74960569#,537#
0 44,1,0,66,176,Dy,x-33610#,500#,7969#,3#,B-5780#,707#,75963918#,537#
0 43,1,0,67,177,Ho,x-36280#,500#,7980#,3#,B-6578#,709#,76961052#,537#
0 44,1,1,67,178,Ho,x-32130#,500#,7957#,3#,B-8130#,778#,77965507#,537#
0 43,1,1,68,179,Er,x-36080#,500#,7976#,3#,B-5821#,640#,78961267#,537#
0 44,1,2,68,180,Er,x-33180#,500#,7960#,3#,B-4990#,640#,79964380#,537#
0 43,1,2,69,181,Tm,x-35440#,500#,7969#,3#,B-5649#,582#,80961954#,537#
0 44,1,3,69,182,Tm,x-31490#,500#,7948#,3#,B-7410#,640#,81966194#,537#
0 43,1,3,70,183,Yb,x-35000#,400#,7963#,2#,B-4716#,408#,82962426#,429#
0 44,1,4,70,184,Yb,x-32600#,503#,7951#,3#,B-3700#,541#,83965002#,540#
0 45,1,5,70,185,Yb,x-28480#,500#,7929#,3#,B-5480#,583#,84969425#,537#
0 44,1,5,71,186,Lu,x-30320#,400#,7936#,2#,B-6104#,403#,85967450#,429#
0 45,1,6,71,187,Lu,x-27770#,400#,7923#,2#,B-5230#,447#,86970188#,429#
0 46,1,7,71,188,Lu,x-23820#,400#,7903#,2#,B-7009#,500#,87974428#,429#
